"WORD","HITS"
"long","27"
"lot","24"
"lots","9"
"lovely","2"
"machu","1"
"madrid","8"
"maría","3"
"modern","3"
"mountain","8"
"museum","6"
"national","6"
"north","9"
"obradoiro","1"
"olot","1"
"oops","2"
"option","14"
"ostriches","3"
"pablo","3"
"park","13"
"peru","3"
"pichu","1"
"places","11"
"plaza","1"
"police","7"
"reserve","2"
"restaurant","6"
"restaurants","3"
"roja","4"
"ruins","1"
"santiago","1"
"savannah","2"
"sculptures","3"
"serengeti","1"
"shopping","7"
"shops","3"
"skyscrapers","1"
"small","28"
"spain","19"
"spots","5"
"stadium","5"
"state","4"
"station","8"
"statue","5"
"statues","1"
"statures","1"
"street","7"
"sun","19"
"supermarket","5"
"tails","4"
"tall","19"
"tanzania","1"
"tarragona","2"
"temple","2"
"temples","1"
"theatre","8"
"there’s","1"
"thin","17"
"thousands","6"
"tourists","1"
"town","8"
"towns","1"
"ugly","8"
"ve","24"
"vilablareix","1"
"visit","10"
"vultures","2"
"west","5"
"year","24"
"york","6"
"zebras","3"
"anglès","7"
"arms","5"
"bananas","8"
"bath","9"
"bicycle","7"
"biscuits","10"
"chocolate","14"
"comb","4"
"continguts","1"
"domestic","4"
"door","16"
"draw","9"
"ears","14"
"eyes","13"
"fridge","10"
"guitar","4"
"jacket","7"
"jumper","8"
"kite","7"
"lay","6"
"lights","5"
"ligths","1"
"lizard","3"
"maria","4"
"matchllegeix","1"
"mercedes","1"
"nature","4"
"nivell","2"
"notebook","5"
"notebook}","1"
"nuria","1"
"objectes","4"
"perfecte","1"
"puddle","1"
"radio","7"
"raining","8"
"record","5"
"recrd","1"
"relaciona","8"
"revise","3"
"rivera","1"
"roller","1"
"rope","3"
"salad","6"
"skates","3"
"skipping","1"
"snake","16"
"snowman","6"
"snowy","5"
"sofa","8"
"sowman","1"
"stick","4"
"sunny","12"
"sweets","6"
"switch","2"
"sánchez","3"
"teacher","15"
"tidy","3"
"tree","16"
"unitat","2"
"veu","1"
"vocabulari","7"
"wellperfecte","1"
"wheather","1"
"widy","1"
"window","12"
"windy","8"
"associacions","1"
"frog","9"
"jocs","1"
"memòria","4"
"monkey","9"
"names","43"
"panda","5"
"perfect","31"
"puzzles","4"
"tipus","3"
"tria","4"
"adjectives","3"
"adverbs","2"
"angrily","1"
"angry","8"
"ant","1"
"ants","2"
"arf","1"
"australia","6"
"bad","14"
"biggest","9"
"boy","11"
"bright","5"
"buck","1"
"call","7"
"carefully","15"
"catpo","1"
"change","8"
"chased","1"
"claws","2"
"climbed","3"
"couldn","3"
"crossword","13"
"danny","1"
"definition","6"
"defm","1"
"dolphin","5"
"dolphins","3"
"don","28"
"don’t","3"
"eagle","4"
"earth","7"
"east","5"
"elephanto","1"
"fall","11"
"falled","1"
"faster","5"
"fastest","4"
"fell","5"
"fine","8"
"flamingo","2"
"flew","3"
"form","18"
"frogs","1"
"fruit","18"
"ghio","1"
"goed","1"
"happily","2"
"happy","21"
"heaviest","1"
"heavy","7"
"help","17"
"helped","3"
"high","7"
"highest","2"
"hippo","3"
"hospital","4"
"hotter","4"
"hours","8"
"hurt","6"
"ily","1"
"irregular","6"
"i’m","1"
"jemma","1"
"jumped","1"
"jumps","2"
"kangaroos","3"
"keeper","1"
"king","11"
"koala","1"
"koalas","2"
"kshark","1"
"land","7"
"large","11"
"laziest","2"
"lazily","1"
"lazy","4"
"likes","12"
"lives","16"
"lizards","1"
"longest","2"
"loud","5"
"loudly","1"
"loves","3"
"ly","1"
"marched","1"
"marvellous","3"
"men","11"
"monkeys","2"
"move","6"
"nest","2"
"nuts","2"
"opened","2"
"parents","11"
"penguins","3"
"picked","3"
"picture","36"
"quick","7"
"quiet","5"
"quietly","1"
"regular","7"
"rgiraffem","1"
"rhi","1"
"roar","1"
"rock","4"
"rules","5"
"seeds","3"
"sentece","1"
"sentence","14"
"shark","3"
"sharp","2"
"sing","17"
"sit","13"
"slow","9"
"slowest","2"
"slowly","3"
"smaller","8"
"snail","4"
"snails","1"
"south","10"
"strongest","2"
"study","12"
"suddenly","1"
"superlative","3"
"swam","4"
"swimmed","1"
"tail","9"
"taller","4"
"tense","6"
"terrific","1"
"thinner","4"
"verbs","21"
"wall","7"
"wanted","4"
"watched","6"
"weather","7"
"widest","1"
"wings","8"
"works","5"
"yant","1"
"zoo","9"
"zookeepers","1"
"baa","2"
"beak","3"
"beaks","1"
"bee","6"
"buzz","3"
"claw","1"
"cluck","2"
"completed","4"
"corregir","3"
"cows","4"
"donkey","8"
"ducks","1"
