"WORD","HITS"
"asocia","1"
"cayu","1"
"corresponde","1"
"epu","1"
"kechu","1"
"kila","1"
"kiñe","1"
"marri","1"
"meli","1"
"nombre","1"
"número","1"
"odena","1"
"purra","1"
"regle","1"
